"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","11","14","182","16.5","48","0","1","1","4","0","0","1","24.6","24.6","99.9%"
"2","Diontae Johnson (PIT)","8","11","105","13.1","29","0","2","0","0","0","0","1","22.5","22.5","98.0%"
"3","Tee Higgins (CIN)","9","14","138","15.3","29","0","1","0","0","0","0","1","19.8","19.8","93.5%"
"4","Cooper Kupp (LAR)","8","10","129","16.1","43","0","1","0","0","0","0","1","18.9","18.9","100.0%"
"5","Keenan Allen (LAC)","5","8","34","6.8","10","0","2","0","0","0","0","1","17.4","17.4","99.1%"
"6","Deonte Harris (NO)","4","8","96","24.0","70","0","1","1","3","0","0","1","15.9","15.9","7.0%"
"7","Chris Godwin (TB)","15","17","143","9.5","36","0","0","1","9","0","0","1","15.2","15.2","98.9%"
"8","Jalen Guyton (LAC)","4","4","90","22.5","44","0","1","1","-1","0","0","1","14.9","14.9","13.9%"
"9","Amon-Ra St. Brown (DET)","10","12","86","8.6","14","0","1","1","2","0","0","1","14.8","14.8","10.6%"
"10","Elijah Moore (NYJ)","6","12","77","12.8","29","0","1","1","9","0","0","1","14.6","14.6","75.7%"
"11","Tyler Lockett (SEA)","7","8","68","9.7","16","0","1","0","0","0","0","1","12.8","12.8","97.6%"
"12","Jakeem Grant Sr. (CHI)","5","7","62","12.4","34","0","1","0","0","0","0","1","12.2","12.2","0.2%"
"13","CeeDee Lamb (DAL)","7","13","89","12.7","25","0","0","1","33","0","0","1","12.2","12.2","99.6%"
"14","Russell Gage (ATL)","11","12","130","11.8","19","0","0","0","0","0","1","1","11.0","11.0","47.7%"
"15","Mike Williams (LAC)","5","7","110","22.0","47","0","0","0","0","0","0","1","11.0","11.0","94.3%"
"16","Michael Pittman Jr. (IND)","6","8","77","12.8","17","0","0","2","33","0","0","1","11.0","11.0","92.5%"
"17","Lil'Jordan Humphrey (NO)","2","2","49","24.5","25","0","1","0","0","0","0","1","10.9","10.9","0.2%"
"18","K.J. Osborn (MIN)","4","7","47","11.8","21","0","1","0","0","0","0","1","10.7","10.7","32.3%"
"19","Hunter Renfrow (LV)","9","10","102","11.3","28","0","0","0","0","0","0","1","10.2","10.2","85.5%"
"20","Van Jefferson (LAR)","6","8","41","6.8","19","0","1","0","0","0","0","1","10.1","10.1","70.2%"
"21","Sammy Watkins (BAL)","4","6","39","9.8","15","0","1","0","0","0","0","1","9.9","9.9","8.5%"
"22","Mike Evans (TB)","7","10","99","14.1","36","0","0","0","0","0","0","1","9.9","9.9","99.0%"
"23","Michael Gallup (DAL)","5","9","36","7.2","17","0","1","0","0","0","0","1","9.6","9.6","78.7%"
"24","D'Wayne Eskridge (SEA)","3","3","35","11.7","17","0","1","0","0","0","0","1","9.5","9.5","0.6%"
"25","DeAndre Hopkins (ARI)","2","2","32","16.0","20","0","1","0","0","0","0","1","9.2","9.2","99.3%"
"26","Jaylen Waddle (MIA)","9","11","90","10.0","25","0","0","0","0","0","0","1","9.0","9.0","92.8%"
"27","Gabriel Davis (BUF)","2","4","30","15.0","16","0","1","0","0","0","0","1","9.0","9.0","2.8%"
"28","Odell Beckham Jr. (LAR)","2","5","28","14.0","27","0","1","0","0","0","0","1","8.8","8.8","90.3%"
"29","Tyler Boyd (CIN)","5","7","85","17.0","32","0","0","0","0","0","0","1","8.5","8.5","65.4%"
"30","Jerry Jeudy (DEN)","4","6","77","19.3","36","0","0","0","0","0","0","1","7.7","7.7","81.5%"
"31","Josh Reynolds (DET)","4","7","69","17.3","28","0","0","0","0","0","0","1","6.9","6.9","5.7%"
"32","Mack Hollins (MIA)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.2%"
"33","Laquon Treadwell (JAC)","4","5","62","15.5","28","0","0","0","0","0","0","1","6.2","6.2","0.8%"
"34","Ashton Dulin (IND)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.1%"
"35","DeVante Parker (MIA)","5","5","62","12.4","17","0","0","0","0","0","0","1","6.2","6.2","48.1%"
"36","Isaiah Ford (MIA)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"37","Jamison Crowder (NYJ)","4","6","62","15.5","19","0","0","0","0","0","0","1","6.2","6.2","27.7%"
"38","Quez Watkins (PHI)","3","3","60","20.0","28","0","0","0","0","0","0","1","6.0","6.0","1.4%"
"39","D.K. Metcalf (SEA)","5","8","60","12.0","33","0","0","0","0","0","0","1","6.0","6.0","99.7%"
"40","Marquise Brown (BAL)","5","7","55","11.0","22","0","0","0","0","0","0","1","5.5","5.5","94.4%"
"41","Brandon Aiyuk (SF)","3","6","55","18.3","21","0","0","0","0","0","0","1","5.5","5.5","88.5%"
"42","Chase Claypool (PIT)","2","3","52","26.0","40","0","0","1","2","0","0","1","5.4","5.4","88.0%"
"43","Brandin Cooks (HOU)","3","6","38","12.7","14","0","0","1","16","0","0","1","5.4","5.4","91.6%"
"44","Ja'Marr Chase (CIN)","5","8","52","10.4","14","0","0","0","0","0","0","1","5.2","5.2","98.5%"
"45","Stefon Diggs (BUF)","4","7","51","12.8","26","0","0","0","0","0","0","1","5.1","5.1","100.0%"
"46","Olamide Zaccheaus (ATL)","3","5","44","14.7","30","0","0","1","2","0","0","1","4.6","4.6","0.8%"
"47","Amari Cooper (DAL)","2","2","41","20.5","41","0","0","0","0","0","0","1","4.1","4.1","97.7%"
"48","Adam Humphries (WAS)","4","5","38","9.5","12","0","0","0","0","0","0","1","3.8","3.8","0.3%"
"49","Kenny Golladay (NYG)","3","5","37","12.3","20","0","0","0","0","0","0","1","3.7","3.7","56.3%"
"50","Damiere Byrd (CHI)","3","7","36","12.0","19","0","0","0","0","0","0","1","3.6","3.6","0.1%"
"51","Ben Skowronek (LAR)","1","2","35","35.0","35","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"52","Kalif Raymond (DET)","2","2","33","16.5","24","0","0","0","0","0","0","1","3.3","3.3","4.0%"
"53","Laviska Shenault Jr. (JAC)","3","5","30","10.0","17","0","0","3","1","0","0","1","3.1","3.1","38.8%"
"54","Bryan Edwards (LV)","3","5","30","10.0","18","0","0","0","0","0","0","1","3.0","3.0","10.1%"
"55","Darnell Mooney (CHI)","5","7","27","5.4","12","0","0","0","0","0","0","1","2.7","2.7","77.9%"
"56","Albert Wilson (MIA)","4","8","26","6.5","13","0","0","0","0","0","0","1","2.6","2.6","0.2%"
"57","T.Y. Hilton (IND)","2","2","22","11.0","14","0","0","0","0","0","0","1","2.2","2.2","19.9%"
"58","Emmanuel Sanders (BUF)","3","6","22","7.3","19","0","0","0","0","0","0","1","2.2","2.2","58.6%"
"59","Tyreek Hill (KC)","2","5","22","11.0","13","0","0","0","0","0","0","1","2.2","2.2","100.0%"
"60","Terry McLaurin (WAS)","3","5","22","7.3","13","0","0","0","0","0","0","1","2.2","2.2","98.9%"
"61","Zay Jones (LV)","3","5","21","7.0","13","0","0","0","0","0","0","1","2.1","2.1","1.1%"
"62","Devin Duvernay (BAL)","2","3","21","10.5","18","0","0","0","0","0","0","1","2.1","2.1","1.4%"
"63","Demarcus Robinson (KC)","2","2","21","10.5","12","0","0","0","0","0","0","1","2.1","2.1","0.8%"
"64","Pharoh Cooper (NYG)","2","3","21","10.5","15","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"65","Freddie Swain (SEA)","3","3","18","6.0","7","0","0","0","0","0","0","1","1.8","1.8","0.3%"
"66","Zach Pascal (IND)","1","3","6","6.0","6","0","0","1","12","0","0","1","1.8","1.8","4.2%"
"67","Trent Sherfield (SF)","2","5","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"68","Tre'Quan Smith (NO)","2","7","15","7.5","9","0","0","0","0","0","0","1","1.5","1.5","11.1%"
"69","Corey Davis (NYJ)","2","3","15","7.5","10","0","0","0","0","0","0","1","1.5","1.5","38.2%"
"70","DeVonta Smith (PHI)","2","4","15","7.5","13","0","0","0","0","0","0","1","1.5","1.5","86.1%"
"71","Courtland Sutton (DEN)","2","6","15","7.5","10","0","0","0","0","0","0","1","1.5","1.5","77.2%"
"72","A.J. Green (ARI)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","33.6%"
