"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","107","153","1,361","12.7","43","0","9","1","0","0","0","17","301.1","17.7","99.9%"
"2","Travis Kelce (KC)","92","134","1,125","12.2","69","0","9","2","3","1","1","16","262.8","16.4","99.9%"
"3","Dalton Schultz (DAL)","78","104","808","10.4","32","0","8","0","0","0","0","17","208.8","12.3","96.1%"
"4","George Kittle (SF)","71","94","910","12.8","48","0","6","3","20","0","1","14","198.0","14.1","99.1%"
"5","Zach Ertz (ARI)","74","112","763","10.3","47","0","5","1","4","0","0","17","180.7","10.6","92.2%"
"6","Kyle Pitts (ATL)","68","110","1,026","15.1","61","0","1","0","0","0","0","17","176.6","10.4","99.7%"
"7","Rob Gronkowski (FA)","55","88","802","14.6","42","0","6","0","0","0","0","12","171.2","14.3","87.2%"
"8","Mike Gesicki (MIA)","73","112","780","10.7","40","0","2","0","0","0","0","17","165.0","9.7","90.2%"
"9","Dallas Goedert (PHI)","56","76","830","14.8","45","0","4","0","0","0","0","15","165.0","11.0","93.3%"
"10","Hunter Henry (NE)","50","75","603","12.1","35","0","9","0","0","0","0","16","164.3","10.3","88.1%"
"11","Dawson Knox (BUF)","49","71","587","12.0","53","0","9","0","4","0","0","15","164.1","10.9","90.0%"
"12","Noah Fant (SEA)","68","90","670","9.9","35","0","4","0","0","0","0","16","159.0","9.9","85.4%"
"13","Pat Freiermuth (PIT)","60","79","497","8.3","24","0","7","0","0","0","1","16","151.7","9.5","90.2%"
"14","Tyler Higbee (LAR)","61","85","560","9.2","37","0","5","0","0","0","0","15","147.0","9.8","57.0%"
"15","T.J. Hockenson (DET)","61","84","583","9.6","33","0","4","0","0","0","0","12","145.3","12.1","94.7%"
"16","Tyler Conklin (NYJ)","61","87","593","9.7","40","0","3","0","0","0","0","17","138.3","8.1","1.1%"
