"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Elijah Moore (NYJ)","7","8","84","12.0","26","0","2","0","0","0","0","1","20.4","20.4","75.7%"
"2","Olamide Zaccheaus (ATL)","3","3","58","19.3","49","0","2","0","0","0","0","1","17.8","17.8","0.8%"
"3","DeVonta Smith (PHI)","5","6","116","23.2","28","0","1","0","0","0","0","1","17.6","17.6","86.1%"
"4","Darnell Mooney (CHI)","3","6","41","13.7","20","0","1","1","15","1","0","1","17.6","17.6","77.9%"
"5","Malik Turner (DAL)","5","7","33","6.6","11","0","2","0","0","0","0","1","15.3","15.3","0.1%"
"6","Donovan Peoples-Jones (CLE)","2","3","86","43.0","60","0","1","0","0","0","0","1","14.6","14.6","9.4%"
"7","Tim Patrick (DEN)","4","5","85","21.3","44","0","1","0","0","0","0","1","14.5","14.5","20.9%"
"8","Justin Jefferson (MIN)","3","5","69","23.0","50","0","1","1","11","0","0","1","14.0","14.0","99.9%"
"9","Brandon Aiyuk (SF)","6","8","89","14.8","22","0","1","1","-2","0","1","1","12.7","12.7","88.5%"
"10","Michael Pittman Jr. (IND)","5","6","64","12.8","19","0","1","0","0","0","0","1","12.4","12.4","92.5%"
"11","Marquise Brown (BAL)","9","12","116","12.9","22","0","0","0","0","0","0","1","11.6","11.6","94.4%"
"12","Hunter Renfrow (LV)","7","9","49","7.0","20","0","1","0","0","0","0","1","10.9","10.9","85.5%"
"13","Christian Kirk (ARI)","6","6","91","15.2","50","0","0","0","0","0","0","1","10.4","10.4","59.7%"
"14","Keenan Allen (LAC)","12","13","104","8.7","18","0","0","0","0","0","0","1","10.4","10.4","99.1%"
"15","Robert Woods (LAR)","7","10","98","14.0","22","0","0","1","6","0","0","1","10.4","10.4","32.5%"
"16","Cooper Kupp (LAR)","11","13","95","8.6","17","0","0","0","0","0","0","1","9.5","9.5","100.0%"
"17","Kenny Stills (NO)","2","5","30","15.0","22","0","1","0","0","0","0","1","9.0","9.0","0.1%"
"18","Stefon Diggs (BUF)","6","8","85","14.2","28","0","0","0","0","0","0","1","8.5","8.5","100.0%"
"19","Marquez Callaway (NO)","3","6","25","8.3","15","0","1","0","0","0","0","1","8.5","8.5","28.1%"
"20","Jaylen Waddle (MIA)","8","10","83","10.4","17","0","0","0","0","0","0","1","8.3","8.3","92.8%"
"21","Mack Hollins (MIA)","3","6","22","7.3","10","0","1","0","0","0","0","1","8.2","8.2","0.2%"
"22","Allen Lazard (GB)","1","1","20","20.0","20","0","1","0","0","0","0","1","8.0","8.0","4.0%"
"23","Tee Higgins (CIN)","6","8","78","13.0","20","0","0","0","0","0","0","1","7.8","7.8","93.5%"
"24","Jerry Jeudy (DEN)","6","8","69","11.5","25","0","0","0","0","0","0","1","6.9","6.9","81.5%"
"25","Allen Robinson II (CHI)","4","6","68","17.0","39","0","0","0","0","0","0","1","6.8","6.8","60.7%"
"26","Devin Duvernay (BAL)","2","2","8","4.0","5","0","1","0","0","0","0","1","6.8","6.8","1.4%"
"27","Diontae Johnson (PIT)","5","6","56","11.2","22","0","0","2","11","0","0","1","6.7","6.7","98.0%"
"28","Adam Thielen (MIN)","2","7","6","3.0","5","0","1","0","0","0","0","1","6.6","6.6","97.2%"
"29","Keelan Cole Sr. (NYJ)","5","8","66","13.2","18","0","0","0","0","0","0","1","6.6","6.6","0.7%"
"30","Emmanuel Sanders (BUF)","4","8","65","16.3","22","0","0","0","0","0","0","1","6.5","6.5","58.6%"
"31","Russell Gage (ATL)","7","8","64","9.1","20","0","0","0","0","0","0","1","6.4","6.4","47.7%"
"32","Deebo Samuel (SF)","5","9","63","12.6","32","0","0","0","0","0","0","1","6.3","6.3","98.4%"
"33","Antoine Wesley (ARI)","3","3","62","20.7","33","0","0","0","0","0","0","1","6.2","6.2","0.1%"
"34","Mike Williams (LAC)","2","5","58","29.0","49","0","0","0","0","0","0","1","5.8","5.8","94.3%"
"35","Zach Pascal (IND)","4","7","58","14.5","31","0","0","0","0","0","0","1","5.8","5.8","4.2%"
"36","Brandin Cooks (HOU)","6","14","56","9.3","10","0","0","0","0","0","0","1","5.6","5.6","91.6%"
"37","James Washington (PIT)","1","3","42","42.0","42","0","0","2","13","0","0","1","5.5","5.5","1.0%"
"38","Tre'Quan Smith (NO)","3","4","53","17.7","20","0","0","0","0","0","0","1","5.3","5.3","11.1%"
"39","Deonte Harris (NO)","6","8","52","8.7","19","0","0","0","0","0","0","1","5.2","5.2","7.0%"
"40","Rashod Bateman (BAL)","5","8","52","10.4","15","0","0","0","0","0","0","1","5.2","5.2","31.5%"
"41","Randall Cobb (GB)","3","5","50","16.7","35","0","0","0","0","0","0","1","5.0","5.0","10.5%"
"42","Marquise Goodwin (CHI)","1","4","50","50.0","50","0","0","0","0","0","0","1","5.0","5.0","0.7%"
"43","Danny Amendola (HOU)","3","7","49","16.3","39","0","0","0","0","0","0","1","4.9","4.9","0.1%"
"44","D.J. Moore (CAR)","3","7","32","10.7","13","0","0","2","14","0","0","1","4.6","4.6","97.0%"
"45","Chase Claypool (PIT)","3","5","30","10.0","26","0","0","2","13","0","0","1","4.3","4.3","88.0%"
"46","Davante Adams (GB)","6","14","42","7.0","14","0","0","0","0","0","0","1","4.2","4.2","100.0%"
"47","A.J. Brown (TEN)","5","11","42","8.4","16","0","0","0","0","0","0","1","4.2","4.2","91.4%"
"48","Van Jefferson (LAR)","3","7","41","13.7","20","0","0","0","0","0","0","1","4.1","4.1","70.2%"
"49","Kendall Hinton (DEN)","1","1","40","40.0","40","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"50","Jeff Smith (NYJ)","3","4","40","13.3","14","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"51","Jamal Agnew (JAC)","3","5","27","9.0","23","0","0","1","11","0","0","1","3.8","3.8","2.0%"
"52","Jamison Crowder (NYJ)","5","7","38","7.6","12","0","0","0","0","0","0","1","3.8","3.8","27.7%"
"53","Chris Conley (HOU)","2","3","38","19.0","23","0","0","0","0","0","0","1","3.8","3.8","0.4%"
"54","Amari Cooper (DAL)","2","5","37","18.5","32","0","0","0","0","0","0","1","3.7","3.7","97.7%"
"55","Julio Jones (TEN)","4","4","35","8.8","13","0","0","0","0","0","0","1","3.5","3.5","74.6%"
