"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","11","12","266","24.2","72","0","3","0","0","0","0","1","55.6","55.6","99.9%"
"2","Amon-Ra St. Brown (DET)","8","11","111","13.9","31","0","1","2","23","1","0","1","35.4","35.4","95.6%"
"3","DK Metcalf (SEA)","6","9","63","10.5","17","0","3","1","6","0","0","1","30.9","30.9","97.9%"
"4","Davante Adams (LV)","11","14","136","12.4","30","0","1","0","0","0","0","1","30.6","30.6","99.9%"
"5","Braxton Berrios (NYJ)","8","12","65","8.1","11","0","1","2","12","1","1","1","25.7","25.7","9.2%"
"6","Cooper Kupp (LAR)","6","7","95","15.8","24","0","1","0","0","0","0","1","21.5","21.5","99.9%"
"7","Jakobi Meyers (NE)","8","8","73","9.1","17","0","1","0","0","0","0","1","21.3","21.3","81.2%"
"8","Hunter Renfrow (LV)","7","9","76","10.9","24","0","1","0","0","0","0","1","20.6","20.6","92.1%"
"9","Kristian Wilkerson (NE)","4","8","42","10.5","20","0","2","0","0","0","0","1","20.2","20.2","0.0%"
"10","Cyril Grayson Jr. (TB)","6","8","81","13.5","33","0","1","0","0","0","0","1","20.1","20.1","0.1%"
"11","Zay Jones (JAC)","8","10","120","15.0","42","0","0","1","-1","0","0","1","19.9","19.9","1.0%"
"12","Darnell Mooney (CHI)","7","13","69","9.9","18","0","1","0","0","0","0","1","19.9","19.9","92.9%"
"13","Brandin Cooks (HOU)","7","11","66","9.4","24","0","1","0","0","0","0","1","19.6","19.6","94.7%"
"14","Allen Lazard (GB)","6","6","72","12.0","20","0","1","0","0","0","0","1","19.2","19.2","81.6%"
"15","Antoine Wesley (ARI)","4","5","30","7.5","19","0","2","0","0","0","0","1","19.0","19.0","0.3%"
"16","Cedrick Wilson Jr. (MIA)","6","6","35","5.8","11","0","1","0","0","0","0","1","18.7","18.7","1.5%"
"17","Deebo Samuel (SF)","3","6","63","21.0","45","0","1","7","19","0","0","1","17.2","17.2","99.9%"
"18","Diontae Johnson (PIT)","8","15","31","3.9","10","0","1","0","0","0","0","1","17.1","17.1","98.1%"
"19","Marquez Callaway (NO)","6","10","97","16.2","30","0","0","0","0","0","0","1","15.7","15.7","1.9%"
"20","Mike Williams (LAC)","3","4","63","21.0","45","0","1","0","0","0","0","1","15.3","15.3","95.1%"
"21","Odell Beckham Jr. (FA)","5","7","39","7.8","17","0","1","0","0","0","0","1","14.9","14.9","56.1%"
"22","Laquon Treadwell (JAC)","6","6","87","14.5","40","0","0","0","0","0","0","1","14.7","14.7","0.3%"
"23","Mike Evans (TB)","4","7","47","11.8","31","0","1","0","0","0","0","1","14.7","14.7","99.6%"
"24","Keenan Allen (LAC)","4","9","44","11.0","16","0","1","0","0","0","0","1","14.4","14.4","99.5%"
"25","Kendrick Bourne (NE)","5","6","76","15.2","46","0","0","2","17","0","0","1","14.3","14.3","12.3%"
"26","K.J. Osborn (MIN)","3","5","50","16.7","30","0","1","0","0","0","0","1","14.0","14.0","7.9%"
"27","Christian Kirk (JAC)","6","9","79","13.2","43","0","0","0","0","0","0","1","13.9","13.9","87.7%"
"28","Tyler Boyd (CIN)","4","6","36","9.0","17","0","1","0","0","0","0","1","13.6","13.6","63.5%"
"29","Brandon Aiyuk (SF)","4","6","94","23.5","43","0","0","0","0","0","0","1","13.4","13.4","86.8%"
"30","Terry McLaurin (WAS)","7","8","61","8.7","12","0","0","0","0","0","0","1","13.1","13.1","97.3%"
"31","Rashod Bateman (BAL)","7","10","58","8.3","15","0","0","0","0","0","0","1","12.8","12.8","88.5%"
"32","KhaDarel Hodge (ATL)","5","10","76","15.2","42","0","0","0","0","0","0","1","12.6","12.6","0.2%"
"33","Michael Gallup (DAL)","3","4","36","12.0","21","0","1","0","0","0","0","1","12.6","12.6","85.6%"
"34","Tyler Lockett (SEA)","3","3","24","8.0","28","0","1","1","7","0","0","1","12.1","12.1","92.7%"
"35","Justin Jefferson (MIN)","6","11","58","9.7","16","0","0","0","0","0","0","1","11.8","11.8","99.9%"
"36","T.Y. Hilton (FA)","1","3","45","45.0","45","0","1","0","0","0","0","1","11.5","11.5","0.9%"
"37","Demarcus Robinson (LV)","2","2","33","16.5","29","0","1","0","0","0","0","1","11.3","11.3","0.5%"
"38","Amari Cooper (CLE)","3","7","18","6.0","9","0","1","0","0","0","0","1","10.8","10.8","95.8%"
"39","Michael Pittman Jr. (IND)","6","6","47","7.8","12","0","0","0","0","0","0","1","10.7","10.7","97.7%"
"40","Donovan Peoples-Jones (CLE)","3","5","76","25.3","39","0","0","0","0","0","0","1","10.6","10.6","12.5%"
"41","A.J. Green (ARI)","3","6","74","24.7","42","0","0","0","0","0","0","1","10.4","10.4","4.8%"
"42","Van Jefferson (LAR)","4","5","63","15.8","35","0","0","0","0","0","0","1","10.3","10.3","31.3%"
"43","Tyreek Hill (MIA)","6","10","40","6.7","17","0","0","1","2","0","0","1","10.2","10.2","99.9%"
"44","Stefon Diggs (BUF)","5","9","52","10.4","15","0","0","0","0","0","0","1","10.2","10.2","99.9%"
"45","Tee Higgins (CIN)","3","5","62","20.7","39","0","0","0","0","0","0","1","9.2","9.2","98.6%"
"46","Courtland Sutton (DEN)","3","5","60","20.0","44","0","0","0","0","0","0","1","9.0","9.0","92.6%"
"47","Tyler Johnson (TB)","4","6","50","12.5","27","0","0","0","0","0","0","1","9.0","9.0","0.6%"
"48","Jarvis Landry (NO)","4","10","43","10.8","20","0","0","1","6","0","0","1","8.9","8.9","64.1%"
"49","Cam Sims (WAS)","4","5","48","12.0","18","0","0","0","0","0","0","1","8.8","8.8","0.1%"
"50","DeVante Parker (NE)","4","13","46","11.5","20","0","0","0","0","0","0","1","8.6","8.6","53.1%"
"51","Freddie Swain (SEA)","2","2","65","32.5","58","0","0","0","0","0","0","1","8.5","8.5","0.2%"
"52","DeVonta Smith (PHI)","3","6","54","18.0","30","0","0","0","0","0","0","1","8.4","8.4","91.1%"
"53","CeeDee Lamb (DAL)","3","4","51","17.0","26","0","0","0","0","0","0","1","8.1","8.1","99.8%"
"54","Russell Gage (TB)","3","5","50","16.7","24","0","0","0","0","0","0","1","8.0","8.0","85.1%"
"55","Jaylen Waddle (MIA)","3","7","47","15.7","45","0","0","0","0","0","0","1","7.7","7.7","98.8%"
"56","Allen Robinson II (LAR)","4","6","35","8.8","13","0","0","0","0","0","0","1","7.5","7.5","89.8%"
"57","Ray-Ray McCloud (SF)","4","10","35","8.8","12","0","0","0","0","0","0","1","7.5","7.5","0.3%"
"58","Gabriel Davis (BUF)","3","3","40","13.3","15","0","0","0","0","0","0","1","7.0","7.0","90.7%"
"59","Marvin Jones Jr. (JAC)","2","6","46","23.0","24","0","0","0","0","0","0","1","6.6","6.6","23.6%"
"60","Byron Pringle (CHI)","3","4","35","11.7","27","0","0","0","0","0","0","1","6.5","6.5","2.3%"
"61","Mecole Hardman (KC)","1","1","53","53.0","53","0","0","0","0","0","0","1","6.3","6.3","71.2%"
"62","Cole Beasley (FA)","2","6","22","11.0","13","0","0","0","0","0","0","1","6.2","6.2","1.0%"
"63","Breshad Perriman (TB)","2","3","41","20.5","32","0","0","0","0","0","0","1","6.1","6.1","0.2%"
"64","A.J. Brown (PHI)","2","5","41","20.5","25","0","0","0","0","0","0","1","6.1","6.1","99.5%"
"65","Andre Roberts (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"66","DJ Moore (CAR)","3","8","29","9.7","20","0","0","0","0","0","0","1","5.9","5.9","97.8%"
"67","Antonio Brown (FA)","3","5","26","8.7","21","0","0","0","0","0","0","1","5.6","5.6","2.3%"
"68","Greg Ward (PHI)","2","2","35","17.5","27","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"69","Keelan Cole Sr. (LV)","2","5","35","17.5","21","0","0","0","0","0","0","1","5.5","5.5","0.2%"
"70","Nico Collins (HOU)","2","5","35","17.5","20","0","0","0","0","0","0","1","5.5","5.5","2.7%"
"71","Trinity Benson (DET)","2","4","31","15.5","23","0","0","0","0","0","0","1","5.1","5.1","0.0%"
"72","Dee Eskridge (SEA)","1","3","7","7.0","7","0","0","1","30","0","0","1","4.7","4.7","1.3%"
"73","Chase Claypool (PIT)","3","9","17","5.7","8","0","0","0","0","0","0","1","4.7","4.7","88.5%"
"74","Joshua Palmer (LAC)","3","5","16","5.3","8","0","0","0","0","0","0","1","4.6","4.6","3.8%"
"75","Lil'Jordan Humphrey (FA)","2","2","26","13.0","18","0","0","0","0","0","0","1","4.6","4.6","0.1%"
"76","Jauan Jennings (SF)","2","2","25","12.5","13","0","0","0","0","0","0","1","4.5","4.5","1.1%"
"77","Greg Dortch (ARI)","1","1","10","10.0","10","0","0","1","24","0","0","1","4.4","4.4","0.1%"
"78","Seth Williams (DEN)","1","1","34","34.0","34","0","0","0","0","0","0","1","4.4","4.4","0.1%"
"79","Devin Duvernay (BAL)","2","3","19","9.5","14","0","0","1","4","0","0","1","4.3","4.3","1.3%"
"80","Deonte Harty (NO)","2","2","23","11.5","14","0","0","0","0","0","0","1","4.3","4.3","0.8%"
"81","Kendall Hinton (DEN)","2","5","23","11.5","15","0","0","0","0","0","0","1","4.3","4.3","0.1%"
"82","Marquise Brown (ARI)","3","8","28","9.3","13","0","0","0","0","0","1","1","3.8","3.8","94.4%"
"83","Ben Skowronek (LAR)","2","2","18","9.0","15","0","0","0","0","0","0","1","3.8","3.8","0.1%"
"84","Terrace Marshall Jr. (CAR)","2","2","16","8.0","8","0","0","0","0","0","0","1","3.6","3.6","1.3%"
"85","Quez Watkins (PHI)","2","4","15","7.5","10","0","0","0","0","0","0","1","3.5","3.5","0.7%"
"86","Dyami Brown (WAS)","1","1","25","25.0","25","0","0","0","0","0","0","1","3.5","3.5","0.9%"
"87","Chester Rogers (FA)","2","2","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","1.0%"
"88","Damiere Byrd (ATL)","1","2","23","23.0","23","0","0","0","0","0","0","1","3.3","3.3","0.2%"
"89","Laviska Shenault Jr. (JAC)","2","3","13","6.5","11","0","0","0","0","0","0","1","3.3","3.3","1.8%"
"90","Adam Humphries (FA)","2","2","12","6.0","10","0","0","0","0","0","0","1","3.2","3.2","0.6%"
